salesorderid,revisionnumber,orderdate,duedate,shipdate,status,onlineorderflag,purchaseordernumber,accountnumber,customerid,salespersonid,territoryid,billtoaddressid,shiptoaddressid,shipmethodid,creditcardid,creditcardapprovalcode,currencyrateid,subtotal,taxamt,freight,totaldue,comment,rowguid,modifieddate
43687,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO4959110829,10-4020-000269,29610,275.0,2,783,783,5,3235.0,128163Vi17021,,1258.3767,120.8042,37.7513,1416.9322,,d04c9a8a-85b4-48f5-8ace-d864d7eb94c7,2011-06-07
43688,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO5365136389,10-4020-000161,29718,275.0,2,771,771,5,12399.0,88200Vi64099,,12718.0844,1222.8838,382.1512,14323.1194,,596dee2a-abcb-46d0-95b9-e5aff8c6c1f8,2011-06-07
43689,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO5626159507,10-4020-000166,29646,277.0,4,578,578,5,13054.0,98228Vi67566,,33997.3702,3271.4942,1022.3419,38291.2063,,d5628c44-bd37-4337-9412-3407c824df71,2011-06-07
43690,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO6235146326,10-4020-000431,29533,275.0,3,801,801,5,2337.0,28321Vi12181,,1297.5901,124.2027,38.8133,1460.6061,,68942478-3091-49d6-aa0f-c3a0aa4d49d0,2011-06-07
43691,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO6409111675,10-4020-000292,29570,277.0,4,592,592,5,242.0,28360Vi1235,,874.794,83.9802,26.2438,985.018,,2eb93130-1226-4e8b-a2fd-1ad8d951d103,2011-06-07
43692,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO7859187017,10-4020-000221,29992,281.0,4,1024,1024,5,7176.0,108529Vi37251,,38510.8973,3696.3979,1155.1244,43362.4196,,edb9e3f0-0b76-4dbc-934e-9dabfba01ee5,2011-06-07
43693,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO8120182325,10-4020-000485,29491,275.0,5,807,807,5,8937.0,128548Vi46064,,20541.4072,1969.5564,615.4864,23126.45,,49c3d13d-464f-49d0-b21a-a2c07145ec62,2011-06-07
43694,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO9657130250,10-4020-000315,29549,279.0,5,943,943,5,7083.0,118748Vi36747,,20645.634,1978.3257,618.2268,23242.1865,,ceaaa999-7157-449d-8665-142793421294,2011-06-07
43695,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO10179176559,10-4020-000027,29958,279.0,5,911,911,5,10163.0,128786Vi52413,,39373.781,3787.4632,1183.5823,44344.8265,,f5fb98a9-a866-42ce-add8-6879231ed1a2,2011-06-07
43696,8,2011-05-31,2011-06-12,2011-06-07,5,False,PO9947131800,10-4020-000603,29849,279.0,5,977,977,5,1402.0,98787Vi7192,,419.4589,40.2681,12.5838,472.3108,,7c3e3b6d-e76e-470b-a75e-b20c25f86760,2011-06-07
43697,8,2011-05-31,2011-06-12,2011-06-07,5,True,,10-4030-021768,21768,,6,23148,23148,1,4319.0,530200Vi22686,4.0,3578.27,286.2616,89.4568,3953.9884,,bc58017d-0735-4e0e-8930-292290c37abd,2011-06-07
43698,8,2011-05-31,2011-06-12,2011-06-07,5,True,,10-4030-028389,28389,,7,24593,24593,1,16625.0,1231736Vi86048,8.0,3399.99,271.9992,84.9998,3756.989,,0ae8a848-41d9-4e5e-8fe8-5cd23f14421e,2011-06-07
43699,8,2011-05-31,2011-06-12,2011-06-07,5,True,,10-4030-025863,25863,,1,19613,19613,1,5796.0,333376Vi30244,,3399.99,271.9992,84.9998,3756.989,,99b348bd-7700-4d3e-a531-4540c875a2bd,2011-06-07
43700,8,2011-05-31,2011-06-12,2011-06-07,5,True,,10-4030-014501,14501,,4,20278,20278,1,12860.0,733791Vi66509,,699.0982,55.9279,17.4775,772.5036,,5509a5b0-a6f3-4209-9728-148fb2d15d59,2011-06-07
43701,8,2011-05-31,2011-06-12,2011-06-07,5,True,,10-4030-011003,11003,,9,20425,20425,1,11150.0,335093Vi57504,2.0,3399.99,271.9992,84.9998,3756.989,,4b3a130d-02ae-47aa-a91e-726b39440613,2011-06-07
43702,8,2011-06-01,2011-06-13,2011-06-08,5,True,,10-4030-027645,27645,,4,22584,22584,1,8087.0,1230194Vi41919,,3578.27,286.2616,89.4568,3953.9884,,9310c7f0-9a84-4ce9-be08-f700fb1aadf7,2011-06-08
43703,8,2011-06-01,2011-06-13,2011-06-08,5,True,,10-4030-016624,16624,,9,23967,23967,1,9497.0,1234632Vi48985,15.0,3578.27,286.2616,89.4568,3953.9884,,cc630723-57f1-4e59-b1ef-bf77930b3906,2011-06-08
43704,8,2011-06-01,2011-06-13,2011-06-08,5,True,,10-4030-011005,11005,,9,16025,16025,1,1988.0,835095Vi10342,15.0,3374.99,269.9992,84.3748,3729.364,,b09af2d1-243d-444f-9784-fcfceb3fbb0a,2011-06-08
43705,8,2011-06-01,2011-06-13,2011-06-08,5,True,,10-4030-011011,11011,,9,27345,27345,1,7205.0,1035101Vi37381,15.0,3399.99,271.9992,84.9998,3756.989,,17a0ede6-6f1a-419d-bcf9-3638b79166d0,2011-06-08
43706,8,2011-06-02,2011-06-14,2011-06-09,5,True,,10-4030-027621,27621,,4,13264,13264,1,10912.0,230189Vi56258,,3578.27,286.2616,89.4568,3953.9884,,f02c4cb6-a5b5-4ce4-9473-cb084e383196,2011-06-09
43707,8,2011-06-02,2011-06-14,2011-06-09,5,True,,10-4030-027616,27616,,4,20923,20923,1,19069.0,230298Vi99064,,3578.27,286.2616,89.4568,3953.9884,,0da77d6e-223e-4bc6-a2ed-43b387692c68,2011-06-09
43708,8,2011-06-02,2011-06-14,2011-06-09,5,True,,10-4030-020042,20042,,10,18427,18427,1,4369.0,130402Vi22912,35.0,699.0982,55.9279,17.4775,772.5036,,c9743a57-08a7-4494-a4bf-4b226c0b35ec,2011-06-09
43709,8,2011-06-02,2011-06-14,2011-06-09,5,True,,10-4030-016351,16351,,9,13951,13951,1,15524.0,1034602Vi80214,28.0,3578.27,286.2616,89.4568,3953.9884,,5aa25d99-4ca5-4c80-bbb7-3d97664e2a80,2011-06-09
43710,8,2011-06-02,2011-06-14,2011-06-09,5,True,,10-4030-016517,16517,,9,25446,25446,1,5764.0,1134614Vi30135,28.0,3578.27,286.2616,89.4568,3953.9884,,22220985-4182-4c6f-ae48-e920f72f6095,2011-06-09
43711,8,2011-06-03,2011-06-15,2011-06-10,5,True,,10-4030-027606,27606,,1,18404,18404,1,3043.0,430293Vi16007,,3578.27,286.2616,89.4568,3953.9884,,c8651cc4-7bf4-4013-94b2-2ea9feaac442,2011-06-10
43712,8,2011-06-03,2011-06-15,2011-06-10,5,True,,10-4030-013513,13513,,8,21867,21867,1,6213.0,1231128Vi32292,45.0,3578.27,286.2616,89.4568,3953.9884,,725c5dfe-6eaa-43e3-9571-2b99692df51d,2011-06-10
43713,8,2011-06-04,2011-06-16,2011-06-11,5,True,,10-4030-027601,27601,,4,11855,11855,1,16570.0,830288Vi85808,,3578.27,286.2616,89.4568,3953.9884,,9de30294-9066-4988-a3ad-09a0713348e5,2011-06-11
43714,8,2011-06-04,2011-06-16,2011-06-11,5,True,,10-4030-013591,13591,,10,15169,15169,1,15963.0,1031124Vi82522,61.0,3578.27,286.2616,89.4568,3953.9884,,40659773-9ce3-4214-9886-c9de75e40274,2011-06-11
43715,8,2011-06-04,2011-06-16,2011-06-11,5,True,,10-4030-016483,16483,,9,28213,28213,1,7985.0,1134605Vi41375,54.0,3578.27,286.2616,89.4568,3953.9884,,36c19607-cc19-4cc0-8ea7-c16a6cc747dd,2011-06-11
43716,8,2011-06-04,2011-06-16,2011-06-11,5,True,,10-4030-016529,16529,,9,23557,23557,1,5873.0,534626Vi30635,54.0,3578.27,286.2616,89.4568,3953.9884,,92d7b8bf-071b-478e-a330-dec813c635f9,2011-06-11
43717,8,2011-06-04,2011-06-16,2011-06-11,5,True,,10-4030-025249,25249,,9,11809,11809,1,5700.0,1235425Vi29858,54.0,699.0982,55.9279,17.4775,772.5036,,8cf612ef-31b8-4a57-8e57-5c62d48a0944,2011-06-11
43718,8,2011-06-05,2011-06-17,2011-06-12,5,True,,10-4030-027668,27668,,1,25346,25346,1,3049.0,530203Vi16052,,3578.27,286.2616,89.4568,3953.9884,,877141f0-4ae7-4fb3-b9e0-3ca2cc1a20c9,2011-06-12
43719,8,2011-06-05,2011-06-17,2011-06-12,5,True,,10-4030-027612,27612,,4,13854,13854,1,5998.0,1130295Vi31203,,3578.27,286.2616,89.4568,3953.9884,,bf5155eb-c5be-4245-8fc4-f801db5b052d,2011-06-12
43720,8,2011-06-05,2011-06-17,2011-06-12,5,True,,10-4030-013264,13264,,8,18584,18584,1,2765.0,831105Vi14399,71.0,3578.27,286.2616,89.4568,3953.9884,,8832376e-105b-4696-8bb4-e6ec1aa20219,2011-06-12
43721,8,2011-06-05,2011-06-17,2011-06-12,5,True,,10-4030-013590,13590,,10,22146,22146,1,11950.0,331111Vi61776,74.0,3578.27,286.2616,89.4568,3953.9884,,3a8a408f-c18f-4ae3-b0c4-f3b82f5f3404,2011-06-12
43722,8,2011-06-06,2011-06-18,2011-06-13,5,True,,10-4030-013581,13581,,10,23990,23990,1,12191.0,331099Vi63048,87.0,3578.27,286.2616,89.4568,3953.9884,,681fec9e-c1fb-42c9-a96c-48c911b086dd,2011-06-13
43723,8,2011-06-06,2011-06-18,2011-06-13,5,True,,10-4030-014520,14520,,1,12708,12708,1,16949.0,833793Vi87871,,699.0982,55.9279,17.4775,772.5036,,4eb5ec63-d247-468f-b88b-c2e5c019d949,2011-06-13
43724,8,2011-06-06,2011-06-18,2011-06-13,5,True,,10-4030-016520,16520,,9,25572,25572,1,6336.0,834617Vi32891,80.0,3578.27,286.2616,89.4568,3953.9884,,62fcab48-3494-4af8-a1cb-5e2fe0929ff0,2011-06-13
43725,8,2011-06-07,2011-06-19,2011-06-14,5,True,,10-4030-013258,13258,,8,23444,23444,1,6640.0,832136Vi34578,97.0,3578.27,286.2616,89.4568,3953.9884,,607a7986-372a-4939-b2c3-694d8293d99d,2011-06-14
43726,8,2011-06-07,2011-06-19,2011-06-14,5,True,,10-4030-014560,14560,,4,25989,25989,1,8533.0,533796Vi44130,,699.0982,55.9279,17.4775,772.5036,,c857e6b2-50d6-4b20-92f2-0e5d0c79aba3,2011-06-14
43727,8,2011-06-07,2011-06-19,2011-06-14,5,True,,10-4030-016607,16607,,9,15502,15502,1,11407.0,834627Vi58835,93.0,3578.27,286.2616,89.4568,3953.9884,,7dfeec8e-63c7-4d87-9ecb-35c1a7ac3feb,2011-06-14
43728,8,2011-06-08,2011-06-20,2011-06-15,5,True,,10-4030-027666,27666,,4,20616,20616,1,15630.0,130201Vi80748,,3578.27,286.2616,89.4568,3953.9884,,1a9730f8-53ca-44a9-a692-6a009189157d,2011-06-15
43729,8,2011-06-08,2011-06-20,2011-06-15,5,True,,10-4030-011238,11238,,10,12420,12420,1,2636.0,831735Vi13701,113.0,3399.99,271.9992,84.9998,3756.989,,be1bd96b-b584-487a-a740-b096779f6c47,2011-06-15
43730,8,2011-06-08,2011-06-20,2011-06-15,5,True,,10-4030-025861,25861,,4,23733,23733,1,13323.0,333375Vi69103,,3399.99,271.9992,84.9998,3756.989,,af82e535-af8d-417f-ba33-620f49bee5de,2011-06-15
43731,8,2011-06-08,2011-06-20,2011-06-15,5,True,,10-4030-016629,16629,,9,14019,14019,1,14302.0,834633Vi74142,106.0,3578.27,286.2616,89.4568,3953.9884,,bb0f57ef-e9dc-4f10-bced-0270c6f4dd5a,2011-06-15
43732,8,2011-06-08,2011-06-20,2011-06-15,5,True,,10-4030-011025,11025,,9,21635,21635,1,10882.0,1235104Vi56140,106.0,3374.99,269.9992,84.3748,3729.364,,80acd4e1-371e-4a58-90ca-ec866a828cf7,2011-06-15
43733,8,2011-06-08,2011-06-20,2011-06-15,5,True,,10-4030-027577,27577,,1,24572,24572,1,10600.0,135716Vi54667,,3578.27,286.2616,89.4568,3953.9884,,a97984df-2a16-4baa-b2ed-cd17490e9f93,2011-06-15
43734,8,2011-06-09,2011-06-21,2011-06-16,5,True,,10-4030-027604,27604,,1,23224,23224,1,15365.0,330290Vi79368,,3578.27,286.2616,89.4568,3953.9884,,c1813fdf-af79-4fba-8936-70cbd2964535,2011-06-16
43735,8,2011-06-09,2011-06-21,2011-06-16,5,True,,10-4030-016522,16522,,9,25384,25384,1,6526.0,1034619Vi33896,119.0,3578.27,286.2616,89.4568,3953.9884,,98f80245-c398-4562-bdaf-ea3e9a0ddfac,2011-06-16
43736,8,2011-06-09,2011-06-21,2011-06-16,5,True,,10-4030-011002,11002,,9,20336,20336,1,1416.0,1135092Vi7270,119.0,3399.99,271.9992,84.9998,3756.989,,c14e29e7-db11-44ef-943e-143925a5a9ae,2011-06-16
43737,8,2011-06-10,2011-06-22,2011-06-17,5,True,,10-4030-013261,13261,,8,29772,29772,1,,,136.0,3578.27,286.2616,89.4568,3953.9884,,0b3e274d-e5a8-4e8c-a417-0eafabcff162,2011-06-17
43738,8,2011-06-10,2011-06-22,2011-06-17,5,True,,10-4030-011606,11606,,7,26167,26167,1,12005.0,631125Vi62053,138.0,3578.27,286.2616,89.4568,3953.9884,,2869c629-ebbd-47bc-87b1-a6871cd8c5cf,2011-06-17
43739,8,2011-06-10,2011-06-22,2011-06-17,5,True,,10-4030-013563,13563,,10,29262,29262,1,,,139.0,3578.27,286.2616,89.4568,3953.9884,,9192752e-18f9-4afe-b4da-cfabf0e9f6ce,2011-06-17
43740,8,2011-06-10,2011-06-22,2011-06-17,5,True,,10-4030-016527,16527,,9,28420,28420,1,18137.0,834624Vi94036,132.0,3578.27,286.2616,89.4568,3953.9884,,1242ef55-1fe1-4501-b21b-ca74fc31053c,2011-06-17
43741,8,2011-06-11,2011-06-23,2011-06-18,5,True,,10-4030-027671,27671,,1,13036,13036,1,4679.0,530206Vi24524,,3578.27,286.2616,89.4568,3953.9884,,c674c190-0cda-46f5-aac1-a65d9f902572,2011-06-18
43742,8,2011-06-11,2011-06-23,2011-06-18,5,True,,10-4030-013576,13576,,10,20966,20966,1,17254.0,932138Vi89574,152.0,3578.27,286.2616,89.4568,3953.9884,,7b65fbc1-e19b-44ff-b5b3-4999c9f300b6,2011-06-18
43743,8,2011-06-11,2011-06-23,2011-06-18,5,True,,10-4030-011007,11007,,9,12909,12909,1,1546.0,1235097Vi7903,145.0,3399.99,271.9992,84.9998,3756.989,,49ce5dda-33b4-4e30-9945-0f54bb36a823,2011-06-18
43744,8,2011-06-11,2011-06-23,2011-06-18,5,True,,10-4030-016631,16631,,9,12423,12423,1,12980.0,635648Vi67147,145.0,3578.27,286.2616,89.4568,3953.9884,,6f4346c6-953d-4bb5-8508-18f9cf31a83c,2011-06-18
43745,8,2011-06-12,2011-06-24,2011-06-19,5,True,,10-4030-016514,16514,,9,25018,25018,1,9626.0,634611Vi49589,158.0,3578.27,286.2616,89.4568,3953.9884,,f8d467f2-7039-430d-bfaa-3f6d0405fc6f,2011-06-19
43746,8,2011-06-12,2011-06-24,2011-06-19,5,True,,10-4030-016616,16616,,9,28214,28214,1,5138.0,434629Vi26884,158.0,3578.27,286.2616,89.4568,3953.9884,,ce002911-f422-449d-ac95-c542a5553f46,2011-06-19
43747,8,2011-06-13,2011-06-25,2011-06-20,5,True,,10-4030-027623,27623,,4,27241,27241,1,16044.0,1230190Vi82952,,3578.27,286.2616,89.4568,3953.9884,,5dc249a1-592c-472e-93b7-e2f26dde5dab,2011-06-20
43748,8,2011-06-13,2011-06-25,2011-06-20,5,True,,10-4030-027625,27625,,1,16663,16663,1,14948.0,430191Vi77442,,3578.27,286.2616,89.4568,3953.9884,,5d25e2a5-a4c6-45aa-b388-9bd83769a2af,2011-06-20
43749,8,2011-06-13,2011-06-25,2011-06-20,5,True,,10-4030-027636,27636,,1,17878,17878,1,12504.0,130192Vi64692,,3578.27,286.2616,89.4568,3953.9884,,6c9f6457-1494-4c6c-8f57-3da2505d2bf6,2011-06-20
43750,8,2011-06-13,2011-06-25,2011-06-20,5,True,,10-4030-011591,11591,,7,26694,26694,1,15541.0,1131100Vi80273,177.0,3578.27,286.2616,89.4568,3953.9884,,9f5b2b08-c237-4691-b757-a5d15970a6dc,2011-06-20
43751,8,2011-06-13,2011-06-25,2011-06-20,5,True,,10-4030-011592,11592,,7,17421,17421,1,711.0,331101Vi3645,177.0,3578.27,286.2616,89.4568,3953.9884,,becfdfc1-4e38-4250-9ed8-5f88282865f8,2011-06-20
43752,8,2011-06-13,2011-06-25,2011-06-20,5,True,,10-4030-013265,13265,,8,25970,25970,1,2736.0,731107Vi14233,175.0,3578.27,286.2616,89.4568,3953.9884,,3c3ce19a-5eb4-4a2b-931e-bd2a65334f12,2011-06-20
43753,8,2011-06-13,2011-06-25,2011-06-20,5,True,,10-4030-016482,16482,,9,19434,19434,1,7588.0,734604Vi39312,171.0,3578.27,286.2616,89.4568,3953.9884,,e133a699-6529-4494-80f0-c700a193585d,2011-06-20
43754,8,2011-06-14,2011-06-26,2011-06-21,5,True,,10-4030-027617,27617,,1,18700,18700,1,9734.0,630188Vi50171,,3578.27,286.2616,89.4568,3953.9884,,86b0c2b9-6abd-4b69-9c76-2b702b604d77,2011-06-21
43755,8,2011-06-14,2011-06-26,2011-06-21,5,True,,10-4030-027670,27670,,4,21785,21785,1,14614.0,1030205Vi75785,,3578.27,286.2616,89.4568,3953.9884,,98337979-2598-4e10-8666-4823d1eb0564,2011-06-21
43756,8,2011-06-14,2011-06-26,2011-06-21,5,True,,10-4030-019941,19941,,10,12565,12565,1,9528.0,830399Vi49119,191.0,699.0982,55.9279,17.4775,772.5036,,6d3ee374-d017-4007-9ba3-8966f2b3cd00,2011-06-21
43757,8,2011-06-14,2011-06-26,2011-06-21,5,True,,10-4030-011017,11017,,9,11541,11541,1,12801.0,635102Vi66203,184.0,3374.99,269.9992,84.3748,3729.364,,238fd676-5c9c-44a6-8c10-f890887887b6,2011-06-21
43758,8,2011-06-15,2011-06-27,2011-06-22,5,True,,10-4030-027646,27646,,4,14400,14400,1,17093.0,1230195Vi88773,,3578.27,286.2616,89.4568,3953.9884,,c54ab7fa-b136-4954-9e52-ed8283e91460,2011-06-22
43759,8,2011-06-15,2011-06-27,2011-06-22,5,True,,10-4030-013257,13257,,8,21516,21516,1,11314.0,132135Vi58334,201.0,3578.27,286.2616,89.4568,3953.9884,,12c67787-b108-41bc-8ead-7241e2fe1f14,2011-06-22
43760,8,2011-06-15,2011-06-27,2011-06-22,5,True,,10-4030-016352,16352,,9,11694,11694,1,7485.0,234603Vi38778,197.0,3578.27,286.2616,89.4568,3953.9884,,ff8ed378-d791-4029-a332-0b0ad2751cb1,2011-06-22
43761,8,2011-06-15,2011-06-27,2011-06-22,5,True,,10-4030-016493,16493,,9,24449,24449,1,11678.0,434607Vi60395,197.0,3578.27,286.2616,89.4568,3953.9884,,d8d63fcb-ca38-41d2-bbee-add8bdc7a11a,2011-06-22
43762,8,2011-06-16,2011-06-28,2011-06-23,5,True,,10-4030-027578,27578,,4,19011,19011,1,4503.0,930287Vi23588,,3578.27,286.2616,89.4568,3953.9884,,587a050c-626f-4d69-a5ac-5e4cf662a13b,2011-06-23
43763,8,2011-06-16,2011-06-28,2011-06-23,5,True,,10-4030-016525,16525,,9,13961,13961,1,17110.0,934622Vi88860,210.0,3578.27,286.2616,89.4568,3953.9884,,1f38b7d0-0c7a-4e66-abc4-91d79143f276,2011-06-23
43764,8,2011-06-16,2011-06-28,2011-06-23,5,True,,10-4030-016612,16612,,9,18740,18740,1,10644.0,334628Vi54854,210.0,3578.27,286.2616,89.4568,3953.9884,,4b61937a-7e76-4f51-94ad-20784258e473,2011-06-23
43765,8,2011-06-16,2011-06-28,2011-06-23,5,True,,10-4030-011010,11010,,9,15412,15412,1,10245.0,535100Vi52885,210.0,3399.99,271.9992,84.9998,3756.989,,41a0f8e4-d228-441f-97d3-e7e4a6de042c,2011-06-23
