businessentityid,persontype,namestyle,title,firstname,middlename,lastname,suffix,emailpromotion,additionalcontactinfo,demographics,rowguid,modifieddate
20,EM,False,,Wanida,M,Benshoof,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",1e7e56f4-a583-4e3f-a3fe-ba8a71096d10,2010-12-31 00:00:00.000
21,EM,False,,Terry,J,Eminhizer,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",6a288fe0-d9cb-4da2-beea-51370220490c,2009-02-23 00:00:00.000
22,EM,False,,Sariya,E,Harnpadoungsataya,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",276e0eb5-0ce7-443f-987f-b7ef293c0930,2008-12-05 00:00:00.000
23,EM,False,,Mary,E,Gibson,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",b10cf8eb-5589-4a81-b1bd-051c5759ce06,2009-01-05 00:00:00.000
24,EM,False,Ms.,Jill,A,Williams,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",3f605060-96ad-4201-9be2-bfe7a3c4e468,2009-01-11 00:00:00.000
25,EM,False,,James,R,Hamilton,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",423fe59b-7975-4a7e-b8d2-87105c286d4c,2009-01-27 00:00:00.000
26,EM,False,,Peter,J,Krebs,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",6f32f507-290e-4a96-a045-f445eae4337f,2008-11-24 00:00:00.000
27,EM,False,,Jo,A,Brown,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",edd8add6-f7fd-4086-bfdc-b4fd3e6ad8d7,2008-02-20 00:00:00.000
28,EM,False,,Guy,R,Gilbert,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",d366a33a-8ede-42bd-bf79-3e7fb9713fe1,2006-06-23 00:00:00.000
29,EM,False,,Mark,K,McArthur,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",667fa3ba-b877-4bcc-a752-e461040e2ddd,2009-01-16 00:00:00.000
30,EM,False,,Britta,L,Simon,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",5090c9a8-e39e-4a4d-9133-14e7cf07998b,2009-01-22 00:00:00.000
31,EM,False,,Margie,W,Shoop,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",5ea8a3da-7bea-4adc-85f5-c934e2033825,2008-12-28 00:00:00.000
32,EM,False,,Rebecca,A,Laszlo,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",686bd5af-6f30-4633-944b-3c1916cb4ca2,2008-12-22 00:00:00.000
33,EM,False,,Annik,O,Stahl,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",bfa2bdc8-208a-447b-8a4e-72a215e9e134,2008-12-10 00:00:00.000
34,EM,False,,Suchitra,O,Mohan,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",7e239d8b-00bf-42d6-ac6b-4ea718dbc2b3,2009-02-09 00:00:00.000
35,EM,False,,Brandon,G,Heidepriem,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",4cc8edc2-5502-4550-8089-9b3cc6006490,2009-02-01 00:00:00.000
36,EM,False,,Jose,R,Lugo,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",54655e98-b81a-4041-8fa4-9349c018521f,2009-02-03 00:00:00.000
37,EM,False,,Chris,O,Okelberry,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",5b16ca18-703b-48e8-ab3e-ca158c854808,2009-02-28 00:00:00.000
38,EM,False,,Kim,B,Abercrombie,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",9a2163b3-2f4d-4f9a-91bd-07d326140f9c,2010-01-09 00:00:00.000
39,EM,False,,Ed,R,Dudenhoefer,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",83c88383-9c3e-42c5-ae09-965b5f9ef5b1,2010-01-29 00:00:00.000
40,EM,False,,JoLynn,M,Dobney,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",e8e5c9da-f808-4439-bf5c-b28236bb8467,2007-12-19 00:00:00.000
41,EM,False,,Bryan,,Baker,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",a32e8274-08dc-4596-ab1f-ba6263cbc676,2009-01-14 00:00:00.000
42,EM,False,,James,D,Kramer,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",f4f040e0-02a0-4905-b964-2e894d0f0b94,2008-12-20 00:00:00.000
43,EM,False,,Nancy,A,Anderson,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",0681c8f9-d2ec-47d9-9bd4-751b14eaed50,2008-12-26 00:00:00.000
44,EM,False,,Simon,D,Rapier,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",ff8edbfc-a9a3-4c5d-8aff-df4d6f18daff,2008-12-01 00:00:00.000
45,EM,False,,Thomas,R,Michaels,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",2caf9adc-7a33-48cf-b4b7-3c57d9de39c4,2009-02-19 00:00:00.000
46,EM,False,,Eugene,O,Kogan,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",fb0068ea-49d4-4e82-9895-2680cf59385e,2009-02-01 00:00:00.000
47,EM,False,,Andrew,R,Hill,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",b6439f4f-e57d-4293-b0c8-8919591055a3,2009-02-15 00:00:00.000
48,EM,False,,Ruth,Ann,Ellerbrock,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",9be35b50-2024-4785-9393-7c7ab8d9634d,2007-12-30 00:00:00.000
49,EM,False,,Barry,K,Johnson,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",cb28be2e-de93-4409-bace-df6042d04815,2013-11-29 00:00:00.000
50,EM,False,,Sidney,M,Higa,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",a20bb9f5-3bbb-4ab6-9bfa-6aed32c30204,2008-01-26 00:00:00.000
51,EM,False,,Jeffrey,L,Ford,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",293df609-2fa3-4c00-a891-ace08661fe70,2008-02-13 00:00:00.000
52,EM,False,,Doris,M,Hartwig,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",075ab67f-bfbd-4433-b33e-c65b2c045b6b,2014-01-31 00:00:00.000
53,EM,False,,Diane,R,Glimp,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",9ea27f41-36bb-4456-a506-2b87c416fb0c,2008-03-21 00:00:00.000
54,EM,False,,Bonnie,N,Kearney,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",ab066d28-404a-436e-a17a-789d7f2638d3,2009-12-25 00:00:00.000
55,EM,False,,Taylor,R,Maxwell,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",9f81714b-0c9c-43c3-8df5-180cb0a42d40,2013-12-31 00:00:00.000
56,EM,False,,Denise,H,Smith,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",77f4ac33-e165-49d7-bc6a-f3c2dc069c9b,2009-01-29 00:00:00.000
57,EM,False,,Frank,T,Miller,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",05516fb2-586e-43f5-a87c-5e236f8db8ad,2009-02-16 00:00:00.000
58,EM,False,,Kendall,C,Keil,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",ca8d648a-166b-4d61-9ae0-a0b1ffecfb1b,2008-11-28 00:00:00.000
59,EM,False,,Bob,N,Hohman,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",6384295c-c932-47c0-8e97-71d94f83cd31,2008-12-17 00:00:00.000
60,EM,False,,Pete,C,Male,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",0aeb5713-8bb0-4b8d-bf81-777158e5ff09,2009-01-04 00:00:00.000
61,EM,False,,Diane,H,Tibbott,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",e054ffc1-258c-4da4-b2c1-40e155f4c88b,2009-01-11 00:00:00.000
62,EM,False,,John,T,Campbell,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",f5a4cc1b-aefa-46ca-8888-2ca1c6d4034b,2014-02-07 00:00:00.000
63,EM,False,,Maciej,W,Dusza,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",611d56eb-c29d-4f90-a5c6-1b3b2d44e5f8,2010-01-22 00:00:00.000
64,EM,False,,Michael,J,Zwilling,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",dcc5aa7b-c09a-47a5-86a2-90d88191ebe6,2010-02-16 00:00:00.000
65,EM,False,,Randy,T,Reeves,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",d988d8e0-c335-4f4c-9ed9-199feb7fd4a7,2010-02-16 00:00:00.000
66,EM,False,,Karan,R,Khanna,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",58c97993-7491-49ee-bfdd-cd80ce2c922a,2009-12-15 00:00:00.000
67,EM,False,,Jay,G,Adams,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",2fe289a7-ce57-49e5-be61-3e6580d22ea6,2009-02-26 00:00:00.000
68,EM,False,,Charles,B,Fitzgerald,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",1e7cd457-a854-4d68-acfb-3d752eebd231,2009-11-26 00:00:00.000
69,EM,False,,Steve,F,Masters,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",85f55758-54c4-4048-acbe-bd9515669122,2009-02-08 00:00:00.000
70,EM,False,,David,J,Ortiz,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",60245b9f-eabd-48cf-9fa9-c5dd48bcb3df,2008-12-08 00:00:00.000
71,EM,False,,Michael,Sean,Ray,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",ca42a0b4-c068-4c75-a8a3-de8953760927,2009-02-08 00:00:00.000
72,EM,False,,Steven,T,Selikoff,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",7455feff-9238-4c29-819f-a4df6508c0f8,2008-11-24 00:00:00.000
73,EM,False,,Carole,M,Poland,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",4ee4faf4-9c85-4022-b07f-956f1c5595d5,2008-12-12 00:00:00.000
74,EM,False,,Bjorn,M,Rettig,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",056617d9-e65f-41c7-98af-9c14c4569652,2008-12-31 00:00:00.000
75,EM,False,,Michiko,F,Osada,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",670ce5a5-2b86-4ad7-aef5-df2aaac4a6ab,2009-01-19 00:00:00.000
76,EM,False,,Carol,M,Philips,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",7ac771b3-347a-49fa-9298-487b02fa359d,2009-02-05 00:00:00.000
77,EM,False,,Merav,A,Netz,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",f9427582-fd1b-45de-922d-2c2c58cea0f7,2009-02-24 00:00:00.000
78,EM,False,,Reuben,H,D'sa,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",aebeaa5b-d861-4703-a959-6d0f6f4cdf74,2008-12-08 00:00:00.000
79,EM,False,,Eric,L,Brown,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",d0efaf3a-04dc-442f-9aa1-926c38105241,2010-01-17 00:00:00.000
80,EM,False,,Sandeep,P,Kaliyath,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",7e5b79f9-5b7a-41dc-850f-23b4764b5161,2010-01-10 00:00:00.000
81,EM,False,,Mihail,U,Frintu,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",1062ca88-998c-472c-8bd5-9f3d4bc4d2fb,2009-12-22 00:00:00.000
82,EM,False,,Jack,T,Creasey,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",ed8b39af-5da5-405f-8c38-a6c3ac25ca1b,2010-02-24 00:00:00.000
83,EM,False,,Patrick,M,Cook,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",f03e1512-0dc2-4329-8f21-6c5dbb9996f3,2010-02-05 00:00:00.000
84,EM,False,,Frank,R,Martinez,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",b66ab99e-691c-4cac-b62d-579816800bfa,2010-01-29 00:00:00.000
85,EM,False,,Brian,Richard,Goldstein,,0,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",61ce0232-4144-48ae-ba3b-1d509505f106,2009-12-04 00:00:00.000
86,EM,False,,Ryan,L,Cornelsen,,2,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",0e3f7512-87a6-4c0d-9e02-30919a75bf60,2008-12-29 00:00:00.000
87,EM,False,,Cristian,K,Petculescu,,1,,"<IndividualSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey""><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>",45fe0378-ed23-4d24-a5f5-11b10b402980,2008-12-15 00:00:00.000
